keyword_list,num_of_keywords,customer_input
xiaomi,57,xiaomi redmi note 4x
xiaomi,57,xiaomi scooter
xiaomi,57,xiaomi mi mix
xiaomi,57,xiaomi band 2
xiaomi,57,xiaomi 4x
xiaomi,57,xiaomi max 2
xiaomi,57,xiaomi a1 case
xiaomi,57,xiaomi redmi note 4
xiaomi,57,xiaomi robot vacuum cleaner
xiaomi,57,xiaomi mi a1
xiaomi,57,xiaomi phone
xiaomi,57,xiaomi amazfit
xiaomi,57,xiaomi mix
xiaomi,57,xiaomi mi max 2
xiaomi,57,xiaomi mi 5x
xiaomi,57,xiaomi watch
xiaomi,57,xiaomi note 4x
xiaomi,57,xiaomi fan
xiaomi,57,xiaomi earphone
xiaomi,57,xiaomi mi6
xiaomi,57,xiaomi robot
xiaomi,57,xiaomi mi5
xiaomi,57,xiaomi laptop
xiaomi,57,xiaomi a1
xiaomi,57,powerbank xiaomi
xiaomi,57,xiaomi air purifier 2
xiaomi,57,xiaomi electric scooter
xiaomi,57,xiaomi air purifier
xiaomi,57,xiaomi box
xiaomi,57,xiaomi router
xiaomi,57,xiaomi note 4
xiaomi,57,xiaomi mi mix 2
xiaomi,57,xiaomi cctv
xiaomi,57,xiaomi powerbank
xiaomi,57,xiaomi powerbank 20000
xiaomi,57,xiaomi powerbank 10000
xiaomi,57,xiaomi mi max
xiaomi,57,xiaomi max
xiaomi,57,xiaomi camera
xiaomi,57,xiaomi speaker
xiaomi,57,xiaomi notebook air
xiaomi,57,xiaomi redmi 4x
xiaomi,57,xiaomi
xiaomi,57,mi band 2 xiaomi
xiaomi,57,xiaomi wifi extender
xiaomi,57,xiaomi mi band 2
xiaomi,57,xiaomi mijia
xiaomi,57,xiaomi 5x
xiaomi,57,xiaomi vacuum
xiaomi,57,xiaomi mix 2
xiaomi,57,xiaomi note
xiaomi,57,xiaomi power bank
note,50,redmi note 4x case
note,50,note 8 case
note,50,redmi note 4 case
note,50,note 8 case spigen
note,50,note 4 battery
note,50,samsung galaxy note 5
note,50,mi note 2
note,50,samsung galaxy note 8 case
note,50,samsung note 8 casing
note,50,spigen note 8
note,50,galaxy note 8
note,50,note 8
note,50,samsung note 8 tempered glass
note,50,note 4
note,50,xiaomi redmi note 4x
note,50,samsung note
note,50,note 8 cover
note,50,whitestone dome glass note 8
note,50,note 8 screen protector
note,50,samsung galaxy note 8
note,50,note 5
note,50,xiaomi note 4x
note,50,samsung note 8 case
note,50,samsung note 3
note,50,samsung note 8 cover
note,50,note book
note,50,xiaomi note 4
note,50,note 3 battery
note,50,samsung note 4 battery
note,50,mi note 3
note,50,note 8 casing
note,50,note 5 case
note,50,note 5 casing
note,50,samsung note 5
note,50,note 4 case
note,50,samsung note 8
note,50,Samsung galaxy note 4
note,50,redmi note
note,50,redmi note 5a
note,50,samsung note 3 case
note,50,xiaomi redmi note 4
note,50,samsung note 3 battery
note,50,samsung note 4
note,50,redmi note 4
note,50,screen protector note 8
note,50,note 8 spigen
note,50,samsung note 5 case
note,50,note 8 tempered glass
note,50,xiaomi note
note,50,redmi note 4x
plus,50,samsung galaxy s8 plus
plus,50,oppo r11 plus
plus,50,iphone 6 plus
plus,50,spigen s8 plus
plus,50,iphone 8 plus
plus,50,lenovo phab 2 plus
plus,50,iphone 8 plus case spigen
plus,50,one plus 5 phone
plus,50,dyson v8 absolute plus
plus,50,plus size bra
plus,50,samsung s8 plus cover
plus,50,iphone 6s plus case
plus,50,iphone 7 plus tempered glass
plus,50,plus size jeans
plus,50,iphone 7 plus case
plus,50,iphone 8 plus screen protector
plus,50,oppo r9s plus case
plus,50,iPhone 7 plus
plus,50,plus size top
plus,50,screen protector iphone 7 plus
plus,50,oppo r9s plus
plus,50,plus size women clothes
plus,50,100 plus
plus,50,oppo r9 plus casing
plus,50,s8 plus casing
plus,50,plus size pants
plus,50,iphone 8 plus tempered glass
plus,50,iphone 8 plus casing
plus,50,iphone 8 plus case
plus,50,samsung s8 plus tempered glass
plus,50,one plus 5
plus,50,plus size dress
plus,50,iphone 7 plus casing
plus,50,plus size swimwear
plus,50,pokemon go plus
plus,50,spigen iphone 7 plus
plus,50,s8 plus screen protector
plus,50,spigen iphone 8 plus
plus,50,samsung s8 plus
plus,50,huawei p10 plus case
plus,50,plus size
plus,50,iphone 7 plus screen protector
plus,50,s8 plus cover
plus,50,iphone 6s plus
plus,50,oppo r9s plus casing
plus,50,huawei p10 plus
plus,50,samsung s8 plus case
plus,50,s8 plus case
plus,50,plus size lingerie
plus,50,s8 plus
hair,47,yanagiya hair tonic
hair,47,argan hair oil
hair,47,hair wax
hair,47,hair straightener hair brush
hair,47,hair Color
hair,47,hair removal wax
hair,47,hair mask
hair,47,hair accessories
hair,47,hair serum
hair,47,nose hair trimmer
hair,47,april skin hair dye
hair,47,dyson hair dryer
hair,47,hair oil
hair,47,hair straightener
hair,47,tsubaki hair mask
hair,47,liese hair bubble color
hair,47,hair conditioner
hair,47,aprilskin hair dye
hair,47,hair trimmer
hair,47,hair dryer holder
hair,47,hair straightener hair brush
hair,47,hair dye
hair,47,hair straightener iron
hair,47,hair growth
hair,47,hair loss shampoo
shoes,47,white shoes
hair,47,hair
hair,47,hair band
hair,47,hair shaver
hair,47,hair removal
hair,47,colour hair wax
hair,47,hair shampoo
hair,47,hair treatment
hair,47,hair curler
hair,47,hair removal cream
hair,47,hair spray
hair,47,hair dryer
hair,47,hair straightener comb
hair,47,hair loss
hair,47,hair tonic
hair,47,hair tie
hair,47,philips hair dryer
hair,47,hair clipper
hair,47,ipl hair removal
hair,47,opal hair treatment
hair,47,hair clips
hair,47,hair comb
hair,47,hair wig
shoes,47,school shoes
shoes,47,aqua shoes
shoes,47,jelly shoes
shoes,47,shoes cabinet
shoes,47,skin shoes
shoes,47,casual shoes
shoes,47,slip on shoes
shoes,47,melissa jelly shoes
shoes,47,running shoes
shoes,47,slimming shoes
shoes,47,toms shoes
shoes,47,safety shoes
shoes,47,ladies shoes
shoes,47,women shoes
shoes,47,toddler shoes
shoes,47,children shoes
shoes,47,shoes rack
shoes,47,badminton shoes
shoes,47,kids shoes
shoes,47,baby shoes
shoes,47,nike shoes
shoes,47,canvas shoes
shoes,47,wedges shoes
shoes,47,basketball shoes
shoes,47,winter shoes
shoes,47,warrior shoes
shoes,47,leather shoes
shoes,47,crocs shoes
shoes,47,sport shoes
shoes,47,shoes
shoes,47,puma shoes
shoes,47,man shoes
shoes,47,men shoes
shoes,47,addidas shoes
shoes,47,hiking shoes
shoes,47,platform shoes
shoes,47,mens shoes
shoes,47,lady shoes
shoes,47,Melissa shoes
shoes,47,vans shoes
shoes,47,skechers shoes
shoes,47,shoes ladies
shoes,47,sports shoes
shoes,47,shoes men
shoes,47,asics running shoes
shoes,47,converse shoes
dress,44,prom dress
dress,44,baby dress
dress,44,office dress
dress,44,beach dress
dress,44,lace dress
dress,44,dress for women
dress,44,nursing dress
dress,44,party dress
dress,44,night dress
dress,44,muslimah dress
dress,44,midi dress
dress,44,indian dress kids
dress,44,cheongsam dress
dress,44,retro dress
dress,44,white dress
dress,44,plus size dress
dress,44,princess dress for girls
dress,44,maxi dress
dress,44,korean dress
dress,44,Work dress
dress,44,kids dress
dress,44,casual dress
dress,44,linen dress
dress,44,black dress
dress,44,floral dress
dress,44,long dress
dress,44,wrap dress
dress,44,dinner dress
dress,44,woman dress
dress,44,bridesmaid dress
dress,44,evening dress
dress,44,children dress
dress,44,dress
dress,44,princess dress
dress,44,off shoulder dress
dress,44,wedding dress
dress,44,batik dress
dress,44,maternity dress
dress,44,denim dress
dress,44,baby girl dress
dress,44,embroidery dress
dress,44,formal dress
dress,44,sexy dress
dress,44,frozen dress
car,43,car
car,43,car seat cover
car,43,baby car seat
car,43,car diffuser
car,43,sentosa cable car
car,43,car handphone holder
car,43,car phone holder
